,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount,side_effect,effectiveness
608,55-64,Osteoporosis,2010-10-31,"reclast bottle, infusion",148235,5,4,"I have had 3 infusions.  I was on oral medication but can't take that and was on Forteo shots for 2 years before going to Reclast.  Had flu-like symtoms the first time, not side effects after the other 2.  However, I'm wondering if problems in my hands might not be related to the infusion of Reclast - started as trigger finger in middle fingers on both hands, went away and then came back.  Had surgery on right hand and am looking at surgery on left - now have 2 fingers on left hand involved.  I realize it is a tendon problem in the hand, but still wonder if this is not related to the Reclast.  See my doctor for another infusion in February and will ask about it.  My bone density did improve after the second infusion and hopefully after my next bone scan in 2011, it will have improved even more.",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",28,0.9995677,0.9992193
609,75 or over,Osteoporosis,2010-10-22,"reclast bottle, infusion",148235,2,1,"I have had 3 infusions of Reclast beginning in 2008. Prior to that I was on daily injections of Forteo for 2 years. The Forteo helped me improve enough that the only area that was Osteoporosis was the spine; hip was osteopenic; (one hip has been replaced). After 2 years of Forteo, all the scans showed me to be osteopenic and only slightly below the normal mark. I had my first Reclast in 2008; exactly 3 months 1 day later had the first ever fracture of L-3 vertebra. Reclast again in 2009; exactly 3 months 2 days later had fractures in one foot; Reclast again in 2010; in exactly 2 weeks had fracture of the femur. My Dr. said I was stable and could wait 2 years for my next infusion. Not sure I want another fracture, which, it seems, will inevitably follow.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",35,0.9987618,0.99966943
610, ,Osteoporosis,2010-10-20,"reclast bottle, infusion",148235,4,1,"I'm 71 years old and very fit; my doctor describes me as ""going on 55."" I had the infusion recently, though not without misgivings, but felt fine the next day: no aches or any other distressing symptoms. But about 24 hours after the infusion, I fell flat on my face while walking on level, uncluttered ground in properly tied sneakers. The day after that I was very sore and ached all over. Six days out and I feel nauseous (but no vomiting) most of the time. I have jaw pain but attribute that to having landed on my chin, on cement. I allowed myself to be talked into this treatment against my better judgment and am now wondering whether nauseous and sore is the new normal.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",32,0.9997023,0.003692469
611,65-74,Osteoporosis,2010-10-19,"reclast bottle, infusion",148235,5,5,"This is the 2nd year in a row that I have received the (I.V.) Reclast treatment. I have experienced NO side effects whatsoever! I must emphasize the importance of taking at least 1800 mg. of calcium daily along with Vitamin D. Blood tests revealed that I had low levels of Vitamin D, therefore my endocrynologist put me on 50,000 units of Vitamin D taken once a week for eight weeks. I am a very active, small framed caucasian woman and wasn't too happy when my OBGYN informed me that I had severe osteoporisis! I am eating healthier, trying to get at least 20 minutes of sunshine daily and drinking more milk (2%). I am drinking more milkshakes with lots of choc. icecream as I would like to gain at least 10 more pounds. I might add that the company that manufactures Reclast calls me on a regular basis just to see how I am getting along and they send me free stuff, like calcium pills, water bottles, etc.",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",39,0.99923766,0.9990398
612,45-54,Post-Menopausal Osteoporosis Prevention,2010-10-18,"reclast bottle, infusion",148235,1,1,"I agreed to the reclast injection to prevent osteoporosis, as I have 2.4 osteopenia. My doctor told me there were no side effects. Since five hours after the injection, I have been in excruciating pain: all of my joints, muscles, eyes, painful breathing, tingling hands and feet. The worst pain I have ever endured. After reading more about what this drug is and the effects on my body, I strongly recommend to not take it, especially with the FDA having issued several recent warnings about biophosphenates.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",2,0.9997415,0.0019181225
613,55-64,Osteoporosis,2010-10-17,"reclast bottle, infusion",148235,4,4,"I had my first reclast infusion 3 days ago.  The first 16 hours were problem free.  In the middle of the night, I had chills and was achy.  This only lasted a day and if that is all I must endure to improve my bone health, I will be very satisfied.
Don't put too much credence into the negative reviews as most people, possibly the majority have few if any terrible side effects. If reclast were as bad as some of these reviews indicate, it would be off the market.",4,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",25,0.99936193,0.97452986
614,75 or over,Osteoporosis,2010-10-12,"reclast bottle, infusion",148235,3,1,"I am 76 year old female...this is my opinion of Reclast - Effective? Not sure, had infusion in March, 2010. Time & next dexi scan will tell.  SATISFACTION...NOT AT ALL!!  Will never have 2nd infusion! Was fine for first few hours then INTENSE pain, aches, burning joints & palm of hands...back pain to point Dr thought I'd suffered yet another vertebra fracture...x-rays, MRI showed not the case. Dr declared it side-effect. Even after 7 months still having on/off severe pain to point can't function.
I'll take chances with a broken bone thank you...at least broken bones don't usually take over a 1/2 year to heal, and better than existing in la-la-land caused by strong pain killers.  AND NOW reports suggesting esophogeal cancer MAY be caused by Reclast, Fosimax, etc.  Broken bone doesn't sound all that bad to me anymore! ",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",38,0.99969435,0.9967104
615,65-74,Osteoporosis,2010-10-11,"reclast bottle, infusion",148235,2,1,Pain and stiffness in upper arms. Difficulty  in raising and lowering arms. Tiredness and lack of energy.,1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",17,0.99601424,0.00074505806
616,65-74,Osteoporosis,2010-10-09,"reclast bottle, infusion",148235,5,2,"Didn't read up on Reclast IV as I cannot take oral osteoporosis.  Was given a slow infusion, hand got icy cold and got very dizzy.  Followed all the directions (hydration, Tylenol etc.)  Within 3 hours I was flat on my back, in excrutiating whole-body pain.  Muscles in my chest and abdomen were undulating.  Difficulty breathing, felt like a heart attack, then suddenly began violent vomiting, to weak to walk.  After 4 days in bed, went to my internist because I thought I had fractured my back or broken some ribs.  Got a cortisone shot and went home to bed.  Then the 'phantom' pains began, first in my right foot (couldn't walk on it), then throughout joints at random. Have been in bed or on the counch for a month, exhausted.  Have heavy pressure in my chest, vision is blurry...why go on.  Dr. said some people have no problems, but when they occur, the Reclast should not be given again.  Be well informed before considering this drug.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",34,0.9997881,0.0016071299
617,55-64,Osteoporosis,2010-10-07,"reclast bottle, infusion",148235,5,4,"After reading all the user reviews about Reclast, I was stressed to the max about having the infusion.  I decided whatever side effects I might suffer would be better than breaking a bone.  I am a 60 year old female. Had the infusion done yesterday morning.  I sat in a recliner and talked with the lady next to me who was also having an infusion.  The drip took about 20 minutes and made my arm feel cool.  No pain though.  I had hydrated myself well the day before and taken Tylenol before the procedure.  Took tylenol every four hours after the procedure.  I went shopping for about an hour and drove myself home which took another hour.  I had no problems whatsoever.  It's been over 24 hours since the infusion and I am feeling perfectly normal.  I just hope it will help my bones...there is no guarantee.  But having the infusion was much easier than remembering to take that once a week pill.  Don't be afraid to do this as I was....if you hydrate and take tylenol you should be just fine!",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",31,0.9978818,0.99905664
618,45-54,Osteoporosis,2010-10-04,"reclast bottle, infusion",148235,4,2,"Severe pain, unable to walk without limping, hand hurt and curled like the letter c, cold, but sweating, fever, extreme tiredness, stiff and sore neck, blood pressure dropped to 78/45, blood calcium dropped. 10 days before I could walk without limping or straighten my hand out. I was hydrated, had taken tylenol and expected no side affects or problems. It didn't turn out that way.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",27,0.99974316,0.0011148682
619,65-74,Osteoporosis,2010-10-04,"reclast bottle, infusion",148235,5,4,"I am a 66 year old male who was given Reclast for the first time.  It was set up as a 30 minute drip. I was told to hydrate before receiving it, and I did.  I didn't suffer any side effects.  Time will tell how effective this treatment will be.  Overall, I am very satisfied with how the procedure went.",4,Male,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",13,0.9980604,0.9989323
620,55-64,Osteoporosis,2010-10-01,"reclast bottle, infusion",148235,3,2,"I had my first reclast infusion on sept. 7 2010. Eight hours later I was in severe pain, had high fever, headache.The second day I started itching breaking out and having some chest discomfort. By the third day i was at the doctors office getting decadron, benedryle, and going on a medrol- dose pack. The doctor told my that it  was rare for this kind of reaction to happen. Well that is not what others that have reviewed this drug is telling. As far as I am concerned there is false information going out. I don't think the doctors have a clue what this drug is doing to people. I was trying to protect myself from possible fractures in the future. I ""might"" fall and break a bone, but I know that I will never, never, ever take this drug again. This is just another high priced drug that is making the drug company a lot of money. So what if it is making people very sick. I feel mislead and am not happy at all. I'm a retired icu nurse and I did talk with the doctor, asked a lot of questions and read all the supplied literature. I was not told the truth. I'm worse off than I was before I took it. If you have been recommended to the reclast, think about, pray about it and be prepared for what can happen to you. It is not worth the risk!!!!        ",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",42,0.99938405,0.0029032184
621,55-64,Osteoporosis,2010-09-28,"reclast bottle, infusion",148235,5,5,I've had two reclast treatments for osteopenia (precursor to osteoporosis)and have had absolutely no problems.  I found it way easy than trying to remember to take a drug weekly or monthly but I need oral surgery now and when my dentist heard that I took reclast he backed right off and I have to consult with my doctor before I can proceed with the work and I am having trouble finding out the consequences of having oral surgery while taking reclast. I had a dexa scan in between infusions and there was an improvement.  I guess I'd still recommend it for its ease of use but would like the dental problems clarified by the manufacturer. ,4,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",18,0.9996979,0.99811006
622,65-74,Osteoporosis,2010-09-23,"reclast bottle, infusion",148235,1,1,"Terrible experience, extreme pain in lower back & legs, extremely painful headache, eye infection, had to go to emergency room, eye doctor, get cat scan, now on Prednisone for eye infection, out of work due to side effects. I would never have another infusion. I am telling everyone not to have this treatment.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",29,0.9997458,0.0008414809
623,65-74,Osteoporosis,2010-09-22,"reclast bottle, infusion",148235,5,5,"I have had 2 or 3 infusions over the past 3 years. Today, the Dr. told me the latest results. Wonderful results. I had no side effects at all. I cannot take any of the oral medications.",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",26,0.99934953,0.99911004
624,45-54,Osteoporosis,2010-09-19,"reclast bottle, infusion",148235,1,3,"At 45 my bones are 70.  Needing aggressive treatment, I recently had Reclast.  The procedure was a breeze.  But at 1:45am I awoke with the most excruciating pain.  I seriously thought I was having a heart attack.  I started vomitting.  Spent two days homebound.  Now on third day with muscle and joint pain, fever and total fatique.  I'm a go getter and nothing ever gets me down but this has kicked me in the behind.  Sure hope it works and the side effects are gone soon.  ",2, ,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",24,0.9998777,0.21507543
625,55-64,Osteoporosis,2010-08-26,"reclast bottle, infusion",148235,5,5,"My OB-GYN inquired if I would try this medication as the Fosamax created so many problems for me. Plus having to remember to get up same time every Saturday to take my Fosamax and sit up for up to one hour was frustrating. I am a person who loves to get up and go, go, go. The infusion center here in Honolulu (Queens's) was fabulous!  My drip was lasted about 35 minutes, IV setup was terrific as my nurse did not even hurt me when inserting the needle. After I was done, I was given some juice and I relaxed in the chair for about 10 minutes. Drove home and I am fine. I experienced NO side effects of this drug, am happy and free on Saturday mornings. I trust this helps with your decision to take this drug, but I am also an active believer in vitamins and supplements.  I take 2000 mg of Vitamin D daily as well as 2400 mg of calcium daily.  I also try to keep a fresh and calm approach to everything in life. Good luck. ",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",39,0.9992636,0.99925333
626,55-64,Osteoporosis,2010-08-22,"reclast bottle, infusion",148235,1,1,Took reclast 8 month AGO 1 month to the day had to go in hosp. for 5 days due to pain in both knee s.NO ONE could help at hosp.Today 8/19 back in the Drs office with MRI on KNEES AND I have Dead Bone Knee look that up on MD web.not good. I am sure this drug has got to me now for sure.,1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",26,0.9998739,0.005834476
627,55-64,Osteoporosis,2010-08-16,"reclast bottle, infusion",148235,5,2,I had my first treatment 1 yr ago with my Dexa revealing mild elevation of osteoporosis. I just received my second treatment and hope my Dexa to be better next time.  ,3,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",5,0.9991066,0.9996088
628,65-74,Osteoporosis,2010-08-15,"reclast bottle, infusion",148235,5,5,"I've had one treatment and was very worried about doing so after reading so many horror stories here.  I kept waiting for symptoms to appear ... but none did. I arrived at my appointment, had the treatment and was home within one hour.  I experienced absolutely no side effects from the infusion. ",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",38,0.9991609,0.9989496
629,65-74,Post-Menopausal Osteoporosis Prevention,2010-08-15,"reclast bottle, infusion",148235,1,1,"10 hours after receiving IV infusion of Reclast experienced severe lumbar spine and leg pains.  Next day started having fevers up to 104. Fevers remained high for approx 24 hours.  Next day started having bilateral wrist and hand swelling and severe pain.  Hand and wrist symptoms remain 36 hours post-infusion.  Unable to dress myself, grasp any items, brush my teeth, etc.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",6,0.9998172,0.0038343992
630,75 or over,Post-Menopausal Osteoporosis Prevention,2010-08-12,"reclast bottle, infusion",148235,4,1,"My very active and quick-witted 78 year old mother received her first Reclast IV on June 30, 2010. She was admitted to the hospital 3 days later (high temp of 103, vomitting, pain) which was attributed to an adverse reaction to her Reclast IV. She remained hospitalized, spiking fevers off and on and finally diagnosed with acute leukemia on July 11th. Five days later she passed away. My family can't help but wonder if she would still be alive had she not opted for that Reclast IV.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",2,0.9972307,0.97972465
631,45-54,Osteoporosis,2010-08-01,"reclast bottle, infusion",148235,5,3,"I have had 2 treatments so far, a year apart.  I am 9 months away from my next bone density scan, so cannot say if it is working.  The first time I had the shot I was a little achy for about 3 days and exceptionally tired as well.  The second time I had no side affects at all.  Good luck to all!",4,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",29,0.999466,0.9990959
632,65-74,Osteoporosis,2010-07-26,"reclast bottle, infusion",148235,5,5,first injection 1 year ago did ok. had my dexa scan recently. bones are back to normal.,5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",32,0.99768484,0.9990803
633,65-74,Post-Menopausal Osteoporosis Prevention,2010-07-26,"reclast bottle, infusion",148235,5,1,"6 Weeks after I received my IV  I experienced the most excruciating pain in my body ..I did not know what was going on, I left my job in Alaska and flew to a Dr. By the time I reached a physicain I was in so much pain they had to medicate me.  Blood Tests, EKG's, MRI and x-Rays ruled out any injuries etc.  The conclusion ---- Delayed reaction to the Reclast.  I am still in immense excruciating pain and do not know when it will end, My entire body aches from the bone out, I am literally unable to get out of bed. For all iintent purposes I am a healthy active male ....",1,Male,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",4,0.9998796,0.010742042
634,55-64,Osteoporosis,2010-07-26,"reclast bottle, infusion",148235,5,3,"I am three weeks post infusion and while I won't know the complete effectiveness of my treatment for a while, I will say that I only experienced very minor joint aches for 36 hours post treatment.  I was a little scared after reading so many bad reactions, but knew I had to take the chance.  I must be one of the lucky ones, so far so good....",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",32,0.99932003,0.9990294
635,55-64,Osteoporosis,2010-07-24,"reclast bottle, infusion",148235,1,1,"I had my first dose of Reclast in hand and wanted to read some reviews. After reading 148 reviews on Reclast I canceled my appointment! I did however search to find a resource in the fine print of the prescribing information for those who want to report their reactions to the drug. It states ""to report SUSPECTED ADVERSE REACTIONS, contact Novartis Pharmaceuticals Corporation at 1-888-669-6682 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch."" I know quite a few of those who had severe reactions said they wanted someone to report them to. God bless all of you who are still experiencing pain...I hope this information helps.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",36,0.99922407,0.78192586
636,55-64,Osteoporosis,2010-07-22,"reclast bottle, infusion",148235,5,1,Since I just had this IV treatment a week ago I don't know its effectivness for me yet. I only had 1 day of miserable flu-like illness on the day following treatment and look forward to follow-up treatment in a year. I like knowing I can take care of my bones with just 1 treatment a year. I would definitely recommend this treatment.,5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",18,0.99930406,0.9989492
637,55-64,Osteoporosis,2010-07-20,"reclast bottle, infusion",148235,1,3,The most horrible spasms in my muscles.  The pain was unbareable. I could not move I was in the bed for 2 full days and still hurt for atleast 3 more days.  I don't know if I will do it in another year or not.,1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",21,0.99977225,0.0046601724
638,45-54,Osteoporosis,2010-07-18,"reclast bottle, infusion",148235,4,1,"The evening after my first infusion in December 09, I was hit with the most excruciating, agonizing pain I've ever experienced in my muscles, especially legs. I couldn't sit, stand, or lie down without moaning and even screaming at times. This lasted 3 days. I have also lost my voice; I'm completely hoarse, always, not just sometimes, and have been for almost a year now. Blurred vision, dizzy, daily random attacks of horrible leg and foot cramps which last for hours - you can actually see the muscles ""crawling"" around under the skin. My husband wraps me in heating pads and electric blankets and rubs the muscles till the spasms stop, but the pain and soreness lasts for days after. Spontaneous bruising all over, bone pain, bone spurs, weakness and weight loss, and I haven't been on other medications or changed my diet or anything. I was stupid and didn't research the drug before I let them give it to me, but now I have done a lot, and I'm terrified. It has a half life of TEN YEARS, meaning half of this poison will still be in me for that long, continuing the damage it's doing. If I'd done any research at all I'd never have done it, and I never, ever will take this garbage again. I'm just praying I don't see more stuff crop up over time, but hey, if it lasts ten years, then I guess anything can happen for that whole time.  Great.  Before I was totally active and in shape, now I'm skin and bones, and pretty much helpless.  Good luck to anyone who thinks it won't happen to them - it'll get you sooner or later, I'm sure.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",27,0.9998253,0.007469999
639,55-64,Post-Menopausal Osteoporosis Prevention,2010-07-12,"reclast bottle, infusion",148235,3,1,"The pain I experienced with this drug was horrendous. I had one dose and I am supposed to have another one next year but I will not put myself through something so horrible ever again. The doctor did not explain that I could have severe pain taking this drug, just flu symptoms, and my own stupidity led me to trust her and not research it further.  The last 3 days I have gone through the worst pain of my entire life and I have had 2 children by natural childbirth. The pain was all over my whole body but centralized in my chest area. I would never recommend this drug to anyone, well actually I would recommend to anyone to please NOT take it, the consequences could be terrible.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",3,0.99968326,0.0013360776
640,75 or over,Osteoporosis,2009-10-23,"reclast bottle, infusion",148235,3,2,"Since it has been only 2 weeks since the infusion, am not sure just what is going on. It was doe on my Dr's advice, so I just hope what I am experiencing is not due to that infusion.",2,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",10,0.99981076,0.043164168
641,55-64,Osteoporosis,2009-10-19,"reclast bottle, infusion",148235,5,5,This has been the best of all I have tried to take.  Improvements have been very good.,5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",12,0.07237627,0.78975755
642,65-74,Osteoporosis,2009-10-14,"reclast bottle, infusion",148235,5,5,"easy, no GI side effects or dosage restrictions as with oral medication",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",19,0.9905895,0.85132015
643,45-54,Osteoporosis,2010-07-01,"reclast bottle, infusion",148235,3,3,"While the infusion, by its nature, did not require remembering to take it 1x/wk or 1x/month, I found that the infusion rate as was initially set made me feel woozy.  Only after setting it at a slower drip rate (45 min. vs 15 min) did I feel better.

My arm felt cool, don't know why.  Nail beds weren't blue.  However, starting an hour and a half after the infusion and continuing through the next 5 days, I had many of the adverse affects: muscle pain, joint pain, bone pain.  Not only that, I had pain where I've had arthritis pain previously but I also had the pain was in places where I never had it before and the level of pain surpassed anything I have before.  

I take skellaxin 400 mg and fiorcet 1 tablet at bed as needed for pain. I was taking it slightly more often until the reclast associated pain subsided a week ago.

My rheumatologist thought that the pain was related to arthritis and fibromyalgia, not reclast, if it was reclast, I am the only one who had experienced the pain for 5-6 weeks after infusion.  I can tolerate discomfort,  this recent experience had me very pessimistic about my future, I am only 50.  If this pain is anything like what I have to look forward to, there better be something different for treatment.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",33,0.99959785,0.07727114
644,55-64,Osteoporosis,2010-07-01,"reclast bottle, infusion",148235,4,1,"Had my first Reclast IV june 23. Six hours later I started to get a back ache, by 10 o'clock that night my whole body was in extreme pain. By morning couldn't get out of bed and ended up in the ER for 5 hours. Now July 1 still feel weak and got a continous headache. Dr. says I'm in the 25% of the people that has side effects. Don't want to go thru that again.",1,Male,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",27,0.9998659,0.0024315189
645,75 or over,Osteoporosis,2010-06-30,"reclast bottle, infusion",148235,5,5,"Had difficulty with the pills...mostly having to sit up for an hour or 1/2 hour, causing stomach problems, and decided to try Reclast if the dr. would prescribe.
Dr. prescribed Reclast after trying all of the pills and a daily injection (which I was unable to do).  Had a Bone Density Test one year after my first infusion and the test showed an increase in bone density.  Cause for celebration, as the original scans showed ""lace curtain"" bones.",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",27,0.9992719,0.99947125
646,55-64,Osteoporosis,2010-06-28,"reclast bottle, infusion",148235,3,1,"I did daily injections with Forteo for my severe osteoporosis. I was able to take the oral medicine due to a stomach condition. When I finished the Forteo daily injections the doctor had me go for a Reclast injection. I had burning and pain prior to the Reclast, but it worsened after the Reclast and now I have been diagnosed with Lupus. I am in constant pain, blurred vision, insomnia, joint pain. My husband installed a hot tub and Temperpedic bed. I struggle everyday (still working) but I have now started an organic diet, fish oil pills and vitamin D supplement. Nothing has helped. I used to work out an hour everyday but I can barely function now. ",1, ,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",30,0.9999068,0.8985494
647,45-54,Osteoporosis,2010-06-28,"reclast bottle, infusion",148235,5,3,"I had this medication given to me almost two weeks ago.  I rated the effectiveness as 3 only because we won't know for a year how well it has helped.  I had plenty of liquids both before and after receiving the infusion, and was told to continue that for several days.  I had no side effects at all from this.  I am very happy with it so far.  I was told that the ones who usually have problems are people who may not get enough fluids, and also those who are not (or cannot be) physically active.  It has been easier on me to have this than the Fosamax once a week, because that gave me constant acid reflux and lower digestive tract problems, and also sore throat and hoarseness.  I have not had any of these problems with the Reclast.",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",33,0.999506,0.9976623
648,55-64,Osteoporosis,2010-06-28,"reclast bottle, infusion",148235,5,5,"Have had two Reclast infusions, one per year. The DEXA scan reading has improved.  My bone density is better than a year ago. The one bad thing is the cost! After in-network insurance it is still $400 per infustion.",2,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",23,0.99919087,0.9991254
649,55-64,Osteoporosis,2010-06-24,"reclast bottle, infusion",148235,1,1,"Not me my wife,,, yesterday my wife received this reclast medicine and if I new what I know now, it was going to be Hell no. She had have being in pain all night had the chills have shoulder pain, can eat, is deasy, can't go to work I can go to work since I have to watch her I tell you people hopefully this gets better but for now is not, she have a fever as well. She is not crying because I am here. she have drank over 2 gallons of water.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",17,0.9992945,0.0007632571
650,65-74,Osteoporosis,2010-06-21,"reclast bottle, infusion",148235,1,1,"I was scheduled for a Reclast infusion today, with one week's notice and no information from my doctors (two). After reading the patient reviews, I canceled today's treatment. I don't know if this was a good decision, but I told a nurse I felt I needed to ask questions and get some reassurance from one of the doctors before I could have a Reclast treatment. Now I'm frankly scared of it.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",18,0.99733245,0.007192147
651,65-74,Osteoporosis,2010-06-17,"reclast bottle, infusion",148235,4,1,"I have had two injections and this last one only showed some better with my osteoporosis.  I have had a lot of jaw pain on the left side, expecially when I have to yawn.  Could this be a side effect?  Thanks. JWard",2,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",18,0.99924266,0.0052412427
